concept;prefLabel;narrowMatch;broadMatch;closeMatch;altLabel
http://example.org/skos/libri_thesauri_3713;versification;;http://example.org/concepts/libri_thesauri_3714;http://www.wikidata.org/entity/Q1930620,https:/bn-lit-skos.lab.dariah.pl/scheme/Wersyfikacja,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph241120;metrika@cs,Wersyfikacja@pl
http://example.org/skos/libri_thesauri_22;Riddles;;;http://www.wikidata.org/entity/Q108972082,https:/bn-lit-skos.lab.dariah.pl/scheme/Zagadki;Zagadki@pl
http://example.org/skos/libri_thesauri_21;Literary life;;;http://www.wikidata.org/entity/Q9397695,https:/bn-lit-skos.lab.dariah.pl/scheme/Zycie_literackie;Zycie_literackie@pl
http://example.org/skos/libri_thesauri_3812;writing duo;;http://example.org/concepts/libri_thesauri_10766;http://www.wikidata.org/entity/Q16684349,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph1018969;autorské dvojice@cs
http://example.org/skos/libri_thesauri_10766;authorship;http://example.org/concepts/libri_thesauri_3812,http://example.org/concepts/libri_thesauri_842;;http://www.wikidata.org/entity/Q10859333,http://www.yso.fi/onto/yso/p28118,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph1021990;kirjailijuus@fi,autorství@cs
http://example.org/skos/libri_thesauri_1182;egodocument;;http://example.org/concepts/libri_thesauri_7461;http://www.wikidata.org/entity/Q1298356,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph1043033;prameny osobní povahy@cs
http://example.org/skos/libri_thesauri_3687;urban fiction;;http://example.org/concepts/libri_thesauri_8085;http://www.wikidata.org/entity/Q7900118,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph1059672;městský román@cs
http://example.org/skos/libri_thesauri_1992;Leporello books;;http://example.org/concepts/libri_thesauri_6620;http://www.wikidata.org/entity/Q361880,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph1062730;leporela@cs
http://example.org/skos/libri_thesauri_1209;English poetry;;http://example.org/concepts/libri_thesauri_4584;http://www.wikidata.org/entity/Q2671604,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph114051,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph117174;anglická poezie@cs,anglicky psaná poezie@cs
http://example.org/skos/libri_thesauri_1207;English drama;;http://example.org/concepts/libri_thesauri_4584;http://www.wikidata.org/entity/Q4065157,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph114054,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph118436;anglické drama@cs,anglicky psané drama@cs
http://example.org/skos/libri_thesauri_968;Croatian literature;;;http://www.wikidata.org/entity/Q13221620,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph114245;chorvatská literatura@cs
http://example.org/skos/libri_thesauri_3349;spiritual literature;http://example.org/concepts/libri_thesauri_10442,http://example.org/concepts/libri_thesauri_10520,http://example.org/concepts/libri_thesauri_13437,http://example.org/concepts/libri_thesauri_1885;http://example.org/concepts/libri_thesauri_6496,http://example.org/concepts/libri_thesauri_13826,http://example.org/concepts/libri_thesauri_6491;http://www.wikidata.org/entity/Q29514576,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph114373;duchovní literatura@cs
http://example.org/skos/libri_thesauri_3;children's book;;http://example.org/concepts/libri_thesauri_6620;http://www.wikidata.org/entity/Q8275050,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph114397;dětské knihy@cs
http://example.org/skos/libri_thesauri_1281;experimental poetry;http://example.org/concepts/libri_thesauri_11027;http://example.org/concepts/libri_thesauri_10520,http://example.org/concepts/libri_thesauri_9108,http://example.org/concepts/libri_thesauri_2574,http://example.org/concepts/libri_thesauri_3025;http://www.wikidata.org/entity/Q112569686,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph114518;experimentální poezie@cs
http://example.org/skos/libri_thesauri_1408;French prose literature;http://example.org/concepts/libri_thesauri_1403;http://example.org/concepts/libri_thesauri_10811;http://www.wikidata.org/entity/Q115154781,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph114589;francouzská próza@cs
http://example.org/skos/libri_thesauri_11527;Germanic mythology;;http://example.org/concepts/libri_thesauri_8731,http://example.org/concepts/libri_thesauri_13612;http://www.wikidata.org/entity/Q5551960,http://www.yso.fi/onto/yso/p37782,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph114628;germaaninen mytologia@fi,germánská mytologie@cs
http://example.org/skos/libri_thesauri_2279;music manuscript;;http://example.org/concepts/libri_thesauri_4488;http://www.wikidata.org/entity/Q11613006,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph114726;hudební rukopisy@cs
http://example.org/skos/libri_thesauri_1202;emblematica;;http://example.org/concepts/libri_thesauri_469;http://www.wikidata.org/entity/Q16551815,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph114919;emblematika@cs
http://example.org/skos/libri_thesauri_5726;codex;http://example.org/concepts/libri_thesauri_2108;http://example.org/concepts/libri_thesauri_4488;http://www.wikidata.org/entity/Q213924,http://www.yso.fi/onto/yso/p13680,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph114942;koodeksit@fi,kodexy@cs
http://example.org/skos/libri_thesauri_326;ancient Latin literature;;http://example.org/concepts/libri_thesauri_327;http://www.wikidata.org/entity/Q115161027,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph115100;latinská starověká literatura@cs
http://example.org/skos/libri_thesauri_2051;literature and art;http://example.org/concepts/libri_thesauri_10837,http://example.org/concepts/libri_thesauri_1662,http://example.org/concepts/libri_thesauri_2027;http://example.org/concepts/libri_thesauri_6496,http://example.org/concepts/libri_thesauri_10838,http://example.org/concepts/libri_thesauri_13826;http://www.wikidata.org/entity/Q115161028,https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=ph115156;literatura a umění@cs
