entity,source
Biblioteka Polska,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Polskiej Akademii Nauk,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Polskiej Akademii Umiejętności,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Polsko-Indyjska,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Powiatowa,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Pravnog fakulteta,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Prezydenta Republiki Białorusi,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Prymasowskiego Instytutu Kultury Chrześcijańskiej im. Stefana Kardynała Wyszyńskiego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna Gminy Gać,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna Gminy Kosakowo im. Augustyna Necla,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna Gminy Kozienice im. ks. Franciszka Siarczyńskiego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna Gminy Linia,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna Gminy Perlejewo,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna Gminy Tereszpol,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna Gminy Wałcz,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna i Centrum Kultury im. Kazimiery Iłłakowiczówny,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna im. Adama Mickiewicza,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna im. dr Władysława Biegańskiego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna im. Jana Daniela Janockiego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna im. Jana Łaskiego Młodszego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna im. Jarosława Iwaszkiewicza,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna im. Ryszarda Kapuścińskiego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna im. Stanisława Staszica w Dzielnicy Bielany m. st. Warszawy,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna im. Stanisława Wyspiańskiego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna im. Wacława Wernera,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna im. Wiesława Sautera,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna im. Zaślubin Polski z Morzem,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna im. Zbigniewa Załuskiego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna im. Zygmunta Łazarskiego w Dzielnicy Mokotów m. st. Warszawy,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna m. st. Warszawy Dzielnicy Bemowo,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna Miasta i Gminy,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna Miasta i Gminy,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna Miasta i Gminy,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna Miasta i Gminy,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna Miasta i Gminy,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna Miasta i Gminy,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna Miasta i Gminy,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna Miasta i Gminy Działoszyn,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna Miasta i Gminy im. Kazimiery Iłłakowiczówny,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna Miasta i Gminy Lubsko,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna Miasta i Gminy Lwówek,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna Miasta i Gminy Łapy,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna Miasta i Gminy Szamotuły im. Edmunda Calliera,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna w Dzielnicy Ochota m.st. Warszawy,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Publiczna w Dzielnicy Wesoła m.st. Warszawy,Biblioteka Narodowa - kartoteka autorytatywna
