entity,source
Wit Jaworski,Biblioteka Narodowa - kartoteka autorytatywna
Mira Jaworczakowa,Leksykon literatury dla dzieci i młodzieży | Biblioteka Narodowa - kartoteka autorytatywna
Paweł Jaszczuk,Biblioteka Narodowa - kartoteka autorytatywna
Magdalena Klijer,Biblioteka Narodowa - kartoteka autorytatywna
Aniela Jasińska,Biblioteka Narodowa - kartoteka autorytatywna
Franz Wilhelm Jung,Biblioteka Narodowa - kartoteka autorytatywna
Karol Wojtyła,Biblioteka Narodowa - kartoteka autorytatywna
John Jakes,Biblioteka Narodowa - kartoteka autorytatywna
Krystyna Jabłońska,Biblioteka Narodowa - kartoteka autorytatywna
Richard Friedenthal,Biblioteka Narodowa - kartoteka autorytatywna
Marilyn French,Biblioteka Narodowa - kartoteka autorytatywna
Zachariasz Modzelewski,Biblioteka Narodowa - kartoteka autorytatywna
Basil Bartlett,Biblioteka Narodowa - kartoteka autorytatywna
Kinga Zygma,Biblioteka Narodowa - kartoteka autorytatywna
Arne Reberg,Biblioteka Narodowa - kartoteka autorytatywna
Lev Vladimirovič Losev,Biblioteka Narodowa - kartoteka autorytatywna
Melchiorre Cesarotti,Biblioteka Narodowa - kartoteka autorytatywna
Danuta Kobyłecka,Biblioteka Narodowa - kartoteka autorytatywna
Walker Hamilton,Biblioteka Narodowa - kartoteka autorytatywna
Mikola Tarnovs'kij,Biblioteka Narodowa - kartoteka autorytatywna
Kathleen E. Woodiwiss,Biblioteka Narodowa - kartoteka autorytatywna
Fritz Erpenbeck,Biblioteka Narodowa - kartoteka autorytatywna
Sean O'Brien,Biblioteka Narodowa - kartoteka autorytatywna
David J. Abodaher,Biblioteka Narodowa - kartoteka autorytatywna
Jan Wroczyński,Biblioteka Narodowa - kartoteka autorytatywna
Dorota Łajło,Biblioteka Narodowa - kartoteka autorytatywna
Charles Portis,Biblioteka Narodowa - kartoteka autorytatywna
Emmanuelle Arsan,Biblioteka Narodowa - kartoteka autorytatywna
Frederic Carter,Biblioteka Narodowa - kartoteka autorytatywna
Władysław Kołodziej,Biblioteka Narodowa - kartoteka autorytatywna
Olesâ Aleksandrovna Nikolaeva,Biblioteka Narodowa - kartoteka autorytatywna
Nikos Chadzinikolau,Biblioteka Narodowa - kartoteka autorytatywna
Björn Björnson,Biblioteka Narodowa - kartoteka autorytatywna
Jorge Carrera Andrade,Biblioteka Narodowa - kartoteka autorytatywna
Juan Gómez-Jurado,Biblioteka Narodowa - kartoteka autorytatywna
